Date,confirmed,recovered
03-Mar-2020,28,3
04-Mar-2020,30,3
05-Mar-2020,31,3
06-Mar-2020,34,3
07-Mar-2020,39,3
08-Mar-2020,43,3
10-Mar-2020,56,4
11-Mar-2020,62,4
12-Mar-2020,73,4
13-Mar-2020,82,4
14-Mar-2020,102,4
15-Mar-2020,113,13
16-Mar-2020,119,13
17-Mar-2020,142,14
18-Mar-2020,156,14
19-Mar-2020,194,15
20-Mar-2020,244,20
21-Mar-2020,330,23
22-Mar-2020,396,27
23-Mar-2020,499,27
24-Mar-2020,536,40
25-Mar-2020,657,43
26-Mar-2020,727,45
27-Mar-2020,887,73
28-Mar-2020,987,84
29-Mar-2020,1024,95
30-Mar-2020,1251,102
31-Mar-2020,1397,123
01-Apr-2020,1998,148
02-Apr-2020,2543,191
03-Apr-2020,2567,192
04-Apr-2020,3082,229
05-Apr-2020,3588,229
06-Apr-2020,4778,375
07-Apr-2020,5311,421
08-Apr-2020,5916,506
09-Apr-2020,6725,620
10-Apr-2020,7598,774
11-Apr-2020,8446,969
12-Apr-2020,9205,1080
13-Apr-2020,10453,1181
14-Apr-2020,11487,1359
15-Apr-2020,12322,1432
16-Apr-2020,13430,1768
17-Apr-2020,14352,2041
18-Apr-2020,15722,2463
19-Apr-2020,17615,2854
20-Apr-2020,18539,3273
21-Apr-2020,20080,3975
22-Apr-2020,21370,4370
23-Apr-2020,23077,5012
24-Apr-2020,24530,5498
25-Apr-2020,26283,5939
26-Apr-2020,27890,6523
27-Apr-2020,29451,7137
28-Apr-2020,31324,7747
29-Apr-2020,33062,8437
30-Apr-2020,34863,9068
01-May-2020,37257,10007
02-May-2020,39699,10819
03-May-2020,42505,11775
04-May-2020,46437,12847
05-May-2020,49400,14142
06-May-2020,52987,15331
07-May-2020,56351,16776
08-May-2020,59695,17887
09-May-2020,62808,19301
10-May-2020,67161,20969
11-May-2020,70768,22549
12-May-2020,74292,24420
13-May-2020,78055,26400
14-May-2020,81997,27969
15-May-2020,85784,30258
16-May-2020,90648,34224
17-May-2020,95698,36795
18-May-2020,100328,39233
19-May-2020,106475,42309
20-May-2020,112028,45422
21-May-2020,118226,48553
22-May-2020,124794,51824
23-May-2020,131423,54385
24-May-2020,138536,57692
25-May-2020,144950,60706
26-May-2020,150793,64277
27-May-2020,158086,67749
28-May-2020,165386,70920
29-May-2020,173491,82627
30-May-2020,181827,86936
31-May-2020,190609,91852
01-Jun-2020,198370,95754
02-Jun-2020,207191,100285
03-Jun-2020,216824,104071
04-Jun-2020,226713,108450
05-Jun-2020,236184,113233
06-Jun-2020,246622,118695
